"TIME","GEO","NABS07","UNIT","Value","Flag and Footnotes"
"2008","European Union (28 countries)","Exploration and exploitation of the earth","Million euro","1 515.947",""
"2008","European Union (28 countries)","Exploration and exploitation of the earth","Euro per inhabitant","3",""
"2008","European Union (28 countries)","Exploration and exploitation of the earth","Million units of national currency",":",""
"2008","European Union (28 countries)","Exploration and exploitation of the earth","Million purchasing power standards (PPS)","1 512.198",""
"2008","European Union (28 countries)","Exploration and exploitation of the earth","Million purchasing power standards (PPS) at 2005 prices","1 447.925",""
"2008","European Union (28 countries)","Environment","Million euro","2 577.088",""
"2008","European Union (28 countries)","Environment","Euro per inhabitant","5.2",""
"2008","European Union (28 countries)","Environment","Million units of national currency",":",""
"2008","European Union (28 countries)","Environment","Million purchasing power standards (PPS)","2 572.815",""
"2008","European Union (28 countries)","Environment","Million purchasing power standards (PPS) at 2005 prices","2 449.374",""
"2008","European Union (28 countries)","Exploration and exploitation of space","Million euro","3 979.377",""
"2008","European Union (28 countries)","Exploration and exploitation of space","Euro per inhabitant","8",""
"2008","European Union (28 countries)","Exploration and exploitation of space","Million units of national currency",":",""
"2008","European Union (28 countries)","Exploration and exploitation of space","Million purchasing power standards (PPS)","3 790.605",""
"2008","European Union (28 countries)","Exploration and exploitation of space","Million purchasing power standards (PPS) at 2005 prices","3 633.826",""
"2008","European Union (28 countries)","Transport, telecommunication and other infrastructures","Million euro","3 420.928",""
"2008","European Union (28 countries)","Transport, telecommunication and other infrastructures","Euro per inhabitant","6.8",""
"2008","European Union (28 countries)","Transport, telecommunication and other infrastructures","Million units of national currency",":",""
"2008","European Union (28 countries)","Transport, telecommunication and other infrastructures","Million purchasing power standards (PPS)","3 430.326",""
"2008","European Union (28 countries)","Transport, telecommunication and other infrastructures","Million purchasing power standards (PPS) at 2005 prices","3 248.281",""
"2008","European Union (28 countries)","Energy","Million euro","3 374.816",""
"2008","European Union (28 countries)","Energy","Euro per inhabitant","6.7",""
"2008","European Union (28 countries)","Energy","Million units of national currency",":",""
"2008","European Union (28 countries)","Energy","Million purchasing power standards (PPS)","3 306.823",""
"2008","European Union (28 countries)","Energy","Million purchasing power standards (PPS) at 2005 prices","3 139.672",""
"2008","European Union (28 countries)","Industrial production and technology","Million euro","8 308.651",""
"2008","European Union (28 countries)","Industrial production and technology","Euro per inhabitant","16.6",""
"2008","European Union (28 countries)","Industrial production and technology","Million units of national currency",":",""
"2008","European Union (28 countries)","Industrial production and technology","Million purchasing power standards (PPS)","8 355.542",""
