"TIME","GEO","SECTPERF","UNIT","Value","Flag and Footnotes"
"2007","European Union (28 countries)","All sectors","Million euro","229 582.474",""
"2007","European Union (28 countries)","All sectors","Euro per inhabitant","460.7",""
"2007","European Union (28 countries)","All sectors","Million units of national currency",":",""
"2007","European Union (28 countries)","All sectors","Million purchasing power standards (PPS)","219 874.454",""
"2007","European Union (28 countries)","All sectors","Million purchasing power standards (PPS) at 2005 prices","210 373.424",""
"2007","European Union (28 countries)","Business enterprise sector","Million euro","146 037.81",""
"2007","European Union (28 countries)","Business enterprise sector","Euro per inhabitant","293.1",""
"2007","European Union (28 countries)","Business enterprise sector","Million units of national currency",":",""
"2007","European Union (28 countries)","Business enterprise sector","Million purchasing power standards (PPS)","138 359.797",""
"2007","European Union (28 countries)","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","132 504.133",""
"2007","European Union (28 countries)","Government sector","Million euro","29 450.15",""
"2007","European Union (28 countries)","Government sector","Euro per inhabitant","59.1",""
"2007","European Union (28 countries)","Government sector","Million units of national currency",":",""
"2007","European Union (28 countries)","Government sector","Million purchasing power standards (PPS)","29 573.269",""
"2007","European Union (28 countries)","Government sector","Million purchasing power standards (PPS) at 2005 prices","28 266.912",""
"2007","European Union (28 countries)","Higher education sector","Million euro","51 746.511",""
"2007","European Union (28 countries)","Higher education sector","Euro per inhabitant","103.8",""
"2007","European Union (28 countries)","Higher education sector","Million units of national currency",":",""
"2007","European Union (28 countries)","Higher education sector","Million purchasing power standards (PPS)","49 731.323",""
"2007","European Union (28 countries)","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","47 490.624",""
"2007","European Union (28 countries)","Private non-profit sector","Million euro","2 348.002","e"
"2007","European Union (28 countries)","Private non-profit sector","Euro per inhabitant","4.7","e"
"2007","European Union (28 countries)","Private non-profit sector","Million units of national currency",":",""
"2007","European Union (28 countries)","Private non-profit sector","Million purchasing power standards (PPS)","2 210.065","e"
"2007","European Union (28 countries)","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","2 111.755","e"
"2007","Euro area (19 countries)","All sectors","Million euro","169 892.583",""
"2007","Euro area (19 countries)","All sectors","Euro per inhabitant","513",""
"2007","Euro area (19 countries)","All sectors","Million units of national currency",":",""
"2007","Euro area (19 countries)","All sectors","Million purchasing power standards (PPS)","167 021.856",""
"2007","Euro area (19 countries)","All sectors","Million purchasing power standards (PPS) at 2005 prices","159 585.681",""
"2007","Euro area (19 countries)","Business enterprise sector","Million euro","108 087.717",""
"2007","Euro area (19 countries)","Business enterprise sector","Euro per inhabitant","326.3",""
"2007","Euro area (19 countries)","Business enterprise sector","Million units of national currency",":",""
"2007","Euro area (19 countries)","Business enterprise sector","Million purchasing power standards (PPS)","105 682.587",""
"2007","Euro area (19 countries)","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","101 134.561",""
"2007","Euro area (19 countries)","Government sector","Million euro","23 664.272",""
"2007","Euro area (19 countries)","Government sector","Euro per inhabitant","71.4",""
"2007","Euro area (19 countries)","Government sector","Million units of national currency",":",""
"2007","Euro area (19 countries)","Government sector","Million purchasing power standards (PPS)","23 438.323",""
"2007","Euro area (19 countries)","Government sector","Million purchasing power standards (PPS) at 2005 prices","22 367.232",""
"2007","Euro area (19 countries)","Higher education sector","Million euro","36 670.061",""
"2007","Euro area (19 countries)","Higher education sector","Euro per inhabitant","110.7",""
"2007","Euro area (19 countries)","Higher education sector","Million units of national currency",":",""
"2007","Euro area (19 countries)","Higher education sector","Million purchasing power standards (PPS)","36 402.939",""
"2007","Euro area (19 countries)","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","34 667.292",""
"2007","Euro area (19 countries)","Private non-profit sector","Million euro","1 470.533","e"
"2007","Euro area (19 countries)","Private non-profit sector","Euro per inhabitant","4.4","e"
"2007","Euro area (19 countries)","Private non-profit sector","Million units of national currency",":",""
"2007","Euro area (19 countries)","Private non-profit sector","Million purchasing power standards (PPS)","1 498.008","e"
"2007","Euro area (19 countries)","Private non-profit sector","Million purchasing power standards (PPS) at 2005 prices","1 416.596","e"
"2007","Belgium","All sectors","Million euro","6 356.931",""
"2007","Belgium","All sectors","Euro per inhabitant","600.6",""
"2007","Belgium","All sectors","Million units of national currency","6 356.931",""
"2007","Belgium","All sectors","Million purchasing power standards (PPS)","5 955.529",""
"2007","Belgium","All sectors","Million purchasing power standards (PPS) at 2005 prices","5 800.546",""
"2007","Belgium","Business enterprise sector","Million euro","4 420.386",""
"2007","Belgium","Business enterprise sector","Euro per inhabitant","417.6",""
"2007","Belgium","Business enterprise sector","Million units of national currency","4 420.386",""
"2007","Belgium","Business enterprise sector","Million purchasing power standards (PPS)","4 141.265",""
"2007","Belgium","Business enterprise sector","Million purchasing power standards (PPS) at 2005 prices","4 033.496",""
"2007","Belgium","Government sector","Million euro","513.282",""
"2007","Belgium","Government sector","Euro per inhabitant","48.5",""
"2007","Belgium","Government sector","Million units of national currency","513.282",""
"2007","Belgium","Government sector","Million purchasing power standards (PPS)","480.871",""
"2007","Belgium","Government sector","Million purchasing power standards (PPS) at 2005 prices","468.357",""
"2007","Belgium","Higher education sector","Million euro","1 343.477",""
"2007","Belgium","Higher education sector","Euro per inhabitant","126.9",""
"2007","Belgium","Higher education sector","Million units of national currency","1 343.477",""
"2007","Belgium","Higher education sector","Million purchasing power standards (PPS)","1 258.645",""
"2007","Belgium","Higher education sector","Million purchasing power standards (PPS) at 2005 prices","1 225.891",""
"2007","Belgium","Private non-profit sector","Million euro","79.786",""
"2007","Belgium","Private non-profit sector","Euro per inhabitant","7.5",""
